Dataset,Draw,Player1 wins,Player2 wins,Total win,Number of played game
0,65,35,0,35,100
1,70,30,0,30,100
2,70,30,0,30,100
3,80,20,0,20,100
4,70,30,0,30,100
5,77,23,0,23,100
6,76,24,0,24,100
7,73,27,0,27,100
8,75,25,0,25,100
9,78,22,0,22,100
10,45,55,0,55,100
11,53,47,0,47,100
12,42,58,0,58,100
13,53,47,0,47,100
14,40,60,0,60,100
15,49,51,0,51,100
16,59,41,0,41,100
17,55,45,0,45,100
18,59,41,0,41,100
19,78,22,0,22,100
20,57,43,0,43,100
21,40,60,0,60,100
22,57,43,0,43,100
23,53,47,0,47,100
24,57,43,0,43,100
25,71,29,0,29,100
26,58,42,0,42,100
27,56,44,0,44,100
28,67,33,0,33,100
29,63,37,0,37,100
30,51,49,0,49,100
31,47,53,0,53,100
32,56,44,0,44,100
33,54,46,0,46,100
34,50,50,0,50,100
35,62,38,0,38,100
36,60,40,0,40,100
37,52,48,0,48,100
38,60,40,0,40,100
39,74,26,0,26,100
